2019-09-09 16:02:22,170 - Saving N = 6, h = 0.44, Delta = 0.6428571428571428, J = 0, t=1
2019-09-09 16:02:22,280 - Successful N = 6, h = 0.44, Delta = 0.6632653061224489, J = 0, t=1
2019-09-09 16:02:22,280 - Saving N = 6, h = 0.44, Delta = 0.6632653061224489, J = 0, t=1
2019-09-09 16:02:22,390 - Successful N = 6, h = 0.44, Delta = 0.6836734693877551, J = 0, t=1
2019-09-09 16:02:22,390 - Saving N = 6, h = 0.44, Delta = 0.6836734693877551, J = 0, t=1
2019-09-09 16:02:22,505 - Successful N = 6, h = 0.44, Delta = 0.7040816326530612, J = 0, t=1
2019-09-09 16:02:22,505 - Saving N = 6, h = 0.44, Delta = 0.7040816326530612, J = 0, t=1
2019-09-09 16:02:22,616 - Successful N = 6, h = 0.44, Delta = 0.7244897959183674, J = 0, t=1
2019-09-09 16:02:22,616 - Saving N = 6, h = 0.44, Delta = 0.7244897959183674, J = 0, t=1
2019-09-09 16:02:22,727 - Successful N = 6, h = 0.44, Delta = 0.7448979591836735, J = 0, t=1
2019-09-09 16:02:22,727 - Saving N = 6, h = 0.44, Delta = 0.7448979591836735, J = 0, t=1
2019-09-09 16:02:22,844 - Successful N = 6, h = 0.44, Delta = 0.7653061224489796, J = 0, t=1
2019-09-09 16:02:22,844 - Saving N = 6, h = 0.44, Delta = 0.7653061224489796, J = 0, t=1
2019-09-09 16:02:22,962 - Successful N = 6, h = 0.44, Delta = 0.7857142857142857, J = 0, t=1
2019-09-09 16:02:22,962 - Saving N = 6, h = 0.44, Delta = 0.7857142857142857, J = 0, t=1
2019-09-09 16:02:23,078 - Successful N = 6, h = 0.44, Delta = 0.8061224489795917, J = 0, t=1
2019-09-09 16:02:23,078 - Saving N = 6, h = 0.44, Delta = 0.8061224489795917, J = 0, t=1
2019-09-09 16:02:23,193 - Successful N = 6, h = 0.44, Delta = 0.8265306122448979, J = 0, t=1
2019-09-09 16:02:23,193 - Saving N = 6, h = 0.44, Delta = 0.8265306122448979, J = 0, t=1
2019-09-09 16:02:23,309 - Successful N = 6, h = 0.44, Delta = 0.846938775510204, J = 0, t=1
2019-09-09 16:02:23,309 - Saving N = 6, h = 0.44, Delta = 0.846938775510204, J = 0, t=1
2019-09-09 16:02:23,424 - Successful N = 6, h = 0.44, Delta = 0.8673469387755102, J = 0, t=1
2019-09-09 16:02:23,424 - Saving N = 6, h = 0.44, Delta = 0.8673469387755102, J = 0, t=1
2019-09-09 16:02:23,539 - Successful N = 6, h = 0.44, Delta = 0.8877551020408163, J = 0, t=1
2019-09-09 16:02:23,539 - Saving N = 6, h = 0.44, Delta = 0.8877551020408163, J = 0, t=1
2019-09-09 16:02:23,655 - Successful N = 6, h = 0.44, Delta = 0.9081632653061225, J = 0, t=1
2019-09-09 16:02:23,655 - Saving N = 6, h = 0.44, Delta = 0.9081632653061225, J = 0, t=1
2019-09-09 16:02:23,776 - Successful N = 6, h = 0.44, Delta = 0.9285714285714286, J = 0, t=1
2019-09-09 16:02:23,776 - Saving N = 6, h = 0.44, Delta = 0.9285714285714286, J = 0, t=1
