Delta,J,J_term,M^2,Ms^2,N,binary,ground,t
1.3061224489795917,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-2.336700727145946,1
1.346938775510204,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-2.380186081646702,1
1.3877551020408163,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-2.4239313523745847,1
1.4285714285714284,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-2.4679238341488774,1
1.4693877551020407,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-2.512151664237598,1
1.510204081632653,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-2.5566037495183447,1
1.5510204081632653,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-2.6012697013196,1
1.5918367346938773,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-2.64613977702202,1
1.6326530612244896,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-2.6912048276195764,1
1.673469387755102,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-2.736456250543507,1
1.7142857142857142,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-2.7818859471408297,1
1.7551020408163265,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-2.827486284275612,1
1.7959183673469385,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-2.873250059587662,1
1.8367346938775508,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-2.9191704700007968,1
1.8775510204081631,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-2.9652410831227956,1
1.9183673469387754,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-3.0114558112228527,1
1.9591836734693877,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,0000000,-3.0578088875100846,1
2.0,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-3.104294844469824,1
0.0,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-1.3248046715120205,1
0.04081632653061224,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-1.327387640866615,1
0.08163265306122448,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-1.3349521249740748,1
0.12244897959183673,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-1.3470173855009115,1
0.16326530612244897,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-1.362965478211149,1
0.2040816326530612,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-1.3821834617774416,1
0.24489795918367346,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-1.4041393406991007,1
0.2857142857142857,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-1.4284018084303052,1
0.32653061224489793,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-1.454631163364109,1
0.36734693877551017,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-1.4825612367451375,1
0.4081632653061224,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,1111111,-1.511981696384938,1
